Department,Role,Month,Openings,Applicants,Interviews,Offers,Hires,Avg Time to Fill (days),Offer Acceptance Rate
Engineering,Engineering Role 3,2024-10,4,42,28,20,16,16.3,0.8
Engineering,Engineering Role 3,2024-11,3,43,22,13,9,31.1,0.69
Engineering,Engineering Role 3,2024-12,3,41,19,7,6,31.0,0.86
Marketing,Marketing Role 1,2024-01,2,60,40,19,17,27.6,0.89
Marketing,Marketing Role 1,2024-02,5,66,38,26,17,38.3,0.65
Marketing,Marketing Role 1,2024-03,4,92,61,43,32,18.7,0.74
Marketing,Marketing Role 1,2024-04,3,85,53,23,14,33.3,0.61
Marketing,Marketing Role 1,2024-05,1,95,55,27,26,34.9,0.96
Marketing,Marketing Role 1,2024-06,1,64,40,21,19,34.9,0.9
Marketing,Marketing Role 1,2024-07,3,84,32,22,13,23.7,0.59
Marketing,Marketing Role 1,2024-08,4,69,46,19,16,16.2,0.84
Marketing,Marketing Role 1,2024-09,4,33,13,5,4,14.9,0.8
Marketing,Marketing Role 1,2024-10,5,62,27,17,16,10.4,0.94
Marketing,Marketing Role 1,2024-11,1,93,47,36,21,28.0,0.58
Marketing,Marketing Role 1,2024-12,1,54,27,13,7,13.3,0.54
Marketing,Marketing Role 2,2024-01,3,36,20,9,8,25.1,0.89
Marketing,Marketing Role 2,2024-02,2,20,10,4,3,14.4,0.75
Marketing,Marketing Role 2,2024-03,4,60,29,14,10,23.7,0.71
Marketing,Marketing Role 2,2024-04,1,56,34,24,15,42.3,0.62
Marketing,Marketing Role 2,2024-05,5,77,30,16,15,13.2,0.94
Marketing,Marketing Role 2,2024-06,1,49,24,15,13,32.4,0.87
Marketing,Marketing Role 2,2024-07,1,67,36,24,19,33.1,0.79
Marketing,Marketing Role 2,2024-08,4,57,36,17,15,15.0,0.88
Marketing,Marketing Role 2,2024-09,5,83,42,24,19,25.4,0.79
Marketing,Marketing Role 2,2024-10,2,31,16,7,5,41.8,0.71
Marketing,Marketing Role 2,2024-11,4,89,44,32,22,43.3,0.69
Marketing,Marketing Role 2,2024-12,3,85,30,13,12,16.1,0.92
Marketing,Marketing Role 3,2024-01,5,62,26,15,12,25.3,0.8
Marketing,Marketing Role 3,2024-02,2,57,37,24,21,14.0,0.88
Marketing,Marketing Role 3,2024-03,1,23,13,9,6,10.6,0.67
Marketing,Marketing Role 3,2024-04,3,68,34,18,17,30.5,0.94
Marketing,Marketing Role 3,2024-05,2,53,20,14,8,17.9,0.57
Marketing,Marketing Role 3,2024-06,5,65,35,19,12,27.7,0.63
Marketing,Marketing Role 3,2024-07,2,97,49,27,18,18.6,0.67
Marketing,Marketing Role 3,2024-08,1,60,36,26,25,44.9,0.96
Marketing,Marketing Role 3,2024-09,2,36,17,8,6,27.1,0.75
Marketing,Marketing Role 3,2024-10,2,54,30,18,10,37.4,0.56
Marketing,Marketing Role 3,2024-11,5,83,52,35,31,31.3,0.89
Marketing,Marketing Role 3,2024-12,2,92,36,15,11,25.6,0.73
Sales,Sales Role 1,2024-01,4,45,20,15,12,39.0,0.8
Sales,Sales Role 1,2024-02,1,61,36,14,12,29.8,0.86
Sales,Sales Role 1,2024-03,1,49,24,12,7,17.2,0.58
Sales,Sales Role 1,2024-04,3,78,29,13,8,15.7,0.62
Sales,Sales Role 1,2024-05,4,59,28,13,11,24.2,0.85
Sales,Sales Role 1,2024-06,3,99,42,32,23,13.5,0.72
Sales,Sales Role 1,2024-07,3,44,19,8,5,37.4,0.62
Sales,Sales Role 1,2024-08,2,70,30,22,13,12.1,0.59
Sales,Sales Role 1,2024-09,1,39,16,7,4,18.7,0.57
Sales,Sales Role 1,2024-10,5,73,41,23,18,39.7,0.78
Sales,Sales Role 1,2024-11,1,39,17,7,4,33.6,0.57
Sales,Sales Role 1,2024-12,3,99,42,19,17,19.7,0.89
Sales,Sales Role 2,2024-01,1,38,23,12,8,39.4,0.67
Sales,Sales Role 2,2024-02,2,41,26,14,12,18.9,0.86
Sales,Sales Role 2,2024-03,2,69,29,19,14,31.0,0.74
Sales,Sales Role 2,2024-04,4,30,13,10,8,34.3,0.8
Sales,Sales Role 2,2024-05,5,55,33,15,11,40.2,0.73
Sales,Sales Role 2,2024-06,1,61,36,16,15,12.6,0.94
Sales,Sales Role 2,2024-07,4,39,27,17,16,42.5,0.94
Sales,Sales Role 2,2024-08,4,64,27,12,10,38.4,0.83
Sales,Sales Role 2,2024-09,4,32,15,10,8,17.5,0.8
Sales,Sales Role 2,2024-10,3,53,35,22,13,25.2,0.59
Sales,Sales Role 2,2024-11,2,43,21,12,11,37.3,0.92
Sales,Sales Role 2,2024-12,2,49,24,12,7,32.0,0.58
Sales,Sales Role 3,2024-01,5,42,20,15,14,16.3,0.93
Sales,Sales Role 3,2024-02,5,60,41,21,13,40.5,0.62
Sales,Sales Role 3,2024-03,4,70,43,18,12,41.9,0.67
Sales,Sales Role 3,2024-04,2,61,28,13,9,42.7,0.69
Sales,Sales Role 3,2024-05,1,22,14,8,7,41.8,0.88
Sales,Sales Role 3,2024-06,2,24,7,5,4,38.0,0.8
Sales,Sales Role 3,2024-07,4,90,61,41,35,26.7,0.85
Sales,Sales Role 3,2024-08,3,25,11,7,4,36.1,0.57
Sales,Sales Role 3,2024-09,4,35,10,7,6,29.3,0.86
Sales,Sales Role 3,2024-10,5,47,32,12,9,14.6,0.75
Sales,Sales Role 3,2024-11,2,84,53,29,27,24.4,0.93
Sales,Sales Role 3,2024-12,4,78,25,13,8,35.3,0.62
HR,HR Role 1,2024-01,4,47,28,19,12,33.7,0.63
HR,HR Role 1,2024-02,3,90,27,20,13,13.6,0.65
HR,HR Role 1,2024-03,2,50,33,23,16,20.6,0.7
HR,HR Role 1,2024-04,1,59,40,24,18,16.7,0.75
HR,HR Role 1,2024-05,4,20,13,10,7,39.0,0.7
HR,HR Role 1,2024-06,1,90,47,36,30,34.5,0.83
HR,HR Role 1,2024-07,2,59,24,18,12,12.6,0.67
HR,HR Role 1,2024-08,3,95,62,37,33,35.4,0.89
HR,HR Role 1,2024-09,1,65,28,12,7,23.9,0.58
HR,HR Role 1,2024-10,1,81,48,21,14,10.7,0.67
HR,HR Role 1,2024-11,1,49,20,10,7,20.9,0.7
HR,HR Role 1,2024-12,3,47,22,9,6,12.7,0.67
HR,HR Role 2,2024-01,5,37,20,15,9,44.2,0.6
HR,HR Role 2,2024-02,2,94,39,21,16,44.4,0.76
HR,HR Role 2,2024-03,2,24,14,9,6,45.0,0.67
HR,HR Role 2,2024-04,4,41,27,14,9,18.5,0.64
HR,HR Role 2,2024-05,4,82,27,13,12,29.3,0.92
HR,HR Role 2,2024-06,1,43,14,6,5,21.2,0.83
HR,HR Role 2,2024-07,1,52,17,9,8,22.5,0.89
HR,HR Role 2,2024-08,4,32,15,7,5,30.3,0.71
HR,HR Role 2,2024-09,4,39,15,9,6,22.0,0.67
HR,HR Role 2,2024-10,5,21,11,8,4,32.6,0.5
HR,HR Role 2,2024-11,5,66,39,29,20,44.1,0.69
HR,HR Role 2,2024-12,5,21,14,8,6,11.5,0.75
HR,HR Role 3,2024-01,2,27,16,7,4,42.8,0.57
HR,HR Role 3,2024-02,4,76,52,22,20,27.7,0.91
HR,HR Role 3,2024-03,5,34,14,9,8,15.3,0.89
HR,HR Role 3,2024-04,5,80,49,33,28,19.7,0.85
HR,HR Role 3,2024-05,3,24,13,8,6,34.0,0.75
HR,HR Role 3,2024-06,2,24,16,9,8,31.9,0.89
HR,HR Role 3,2024-07,4,21,13,8,6,28.8,0.75
HR,HR Role 3,2024-08,4,53,23,9,8,17.9,0.89
HR,HR Role 3,2024-09,3,67,24,13,9,36.2,0.69
HR,HR Role 3,2024-10,4,45,27,17,14,15.6,0.82
HR,HR Role 3,2024-11,2,81,37,23,16,42.1,0.7
HR,HR Role 3,2024-12,4,43,20,8,7,42.7,0.88
Finance,Finance Role 1,2024-01,5,84,47,33,20,26.1,0.61
Finance,Finance Role 1,2024-02,2,39,18,7,5,23.5,0.71
Finance,Finance Role 1,2024-03,5,50,17,7,6,35.1,0.86
Finance,Finance Role 1,2024-04,2,40,19,13,9,35.4,0.69
Finance,Finance Role 1,2024-05,5,34,15,9,6,27.3,0.67
Finance,Finance Role 1,2024-06,1,75,35,14,12,40.1,0.86
Finance,Finance Role 1,2024-07,5,38,12,6,5,28.0,0.83
Finance,Finance Role 1,2024-08,4,84,47,29,17,16.4,0.59
Finance,Finance Role 1,2024-09,2,85,33,25,23,39.9,0.92
Finance,Finance Role 1,2024-10,3,50,18,8,5,35.1,0.62
Finance,Finance Role 1,2024-11,2,33,22,14,13,13.2,0.93
Finance,Finance Role 1,2024-12,3,96,55,36,31,13.6,0.86
Finance,Finance Role 2,2024-01,3,91,28,19,14,33.5,0.74
Finance,Finance Role 2,2024-02,4,96,48,29,26,33.8,0.9
Finance,Finance Role 2,2024-03,2,48,28,17,12,10.6,0.71
Finance,Finance Role 2,2024-04,5,29,17,11,10,25.8,0.91
Finance,Finance Role 2,2024-05,4,29,19,11,9,37.7,0.82
Finance,Finance Role 2,2024-06,1,79,26,14,8,23.1,0.57
Finance,Finance Role 2,2024-07,4,69,35,14,10,43.9,0.71
Finance,Finance Role 2,2024-08,1,94,40,21,19,33.4,0.9
Finance,Finance Role 2,2024-09,1,61,40,21,16,28.1,0.76
Finance,Finance Role 2,2024-10,1,52,33,20,12,17.9,0.6
Finance,Finance Role 2,2024-11,1,35,10,7,5,22.2,0.71
Finance,Finance Role 2,2024-12,4,32,11,7,4,14.7,0.57
Finance,Finance Role 3,2024-01,3,21,7,4,3,25.6,0.75
Finance,Finance Role 3,2024-02,5,99,55,25,22,14.6,0.88
Finance,Finance Role 3,2024-03,3,63,41,25,18,24.3,0.72
Finance,Finance Role 3,2024-04,3,35,13,9,6,33.9,0.67
Finance,Finance Role 3,2024-05,3,82,43,19,14,31.6,0.74
Finance,Finance Role 3,2024-06,1,56,21,11,8,11.4,0.73
Finance,Finance Role 3,2024-07,3,91,39,22,17,13.3,0.77
Finance,Finance Role 3,2024-08,2,99,29,17,10,37.9,0.59
Finance,Finance Role 3,2024-09,2,96,52,27,22,26.4,0.81
Finance,Finance Role 3,2024-10,4,83,35,22,16,35.7,0.73
Finance,Finance Role 3,2024-11,2,33,15,11,9,28.0,0.82
Finance,Finance Role 3,2024-12,1,43,16,10,8,14.8,0.8
Operations,Operations Role 1,2024-01,2,94,60,36,25,29.8,0.69
Operations,Operations Role 1,2024-02,1,36,16,12,7,19.8,0.58
Operations,Operations Role 1,2024-03,5,40,18,7,6,22.7,0.86
Operations,Operations Role 1,2024-04,5,47,17,11,7,26.5,0.64
Operations,Operations Role 1,2024-05,3,92,50,35,33,12.1,0.94
Operations,Operations Role 1,2024-06,4,60,40,19,13,30.2,0.68
Operations,Operations Role 1,2024-07,2,50,34,23,16,37.8,0.7
Operations,Operations Role 1,2024-08,4,85,32,16,13,36.8,0.81
Operations,Operations Role 1,2024-09,4,55,27,18,17,15.5,0.94
Operations,Operations Role 1,2024-10,4,62,20,13,7,39.9,0.54
Operations,Operations Role 1,2024-11,4,83,54,29,24,36.5,0.83
Operations,Operations Role 1,2024-12,2,38,20,9,6,17.0,0.67
Operations,Operations Role 2,2024-01,1,61,39,21,12,29.6,0.57
Operations,Operations Role 2,2024-02,5,81,52,28,27,42.3,0.96
Operations,Operations Role 2,2024-03,5,45,29,21,15,43.1,0.71
Operations,Operations Role 2,2024-04,4,27,8,3,2,16.1,0.67
Operations,Operations Role 2,2024-05,4,55,18,12,7,10.5,0.58
Operations,Operations Role 2,2024-06,1,57,30,17,10,32.3,0.59
Operations,Operations Role 2,2024-07,2,43,14,7,6,41.4,0.86
Operations,Operations Role 2,2024-08,4,39,17,8,6,32.1,0.75
Operations,Operations Role 2,2024-09,4,73,22,16,14,14.8,0.88
Operations,Operations Role 2,2024-10,5,100,65,33,29,35.0,0.88
Operations,Operations Role 2,2024-11,4,56,34,15,9,10.9,0.6
Operations,Operations Role 2,2024-12,3,81,36,19,18,10.4,0.95
Operations,Operations Role 3,2024-01,3,61,31,21,16,31.3,0.76
Operations,Operations Role 3,2024-02,4,51,27,20,12,41.9,0.6
Operations,Operations Role 3,2024-03,3,50,29,11,9,29.5,0.82
Operations,Operations Role 3,2024-04,3,88,27,19,16,20.2,0.84
Operations,Operations Role 3,2024-05,1,80,42,33,26,44.3,0.79
Operations,Operations Role 3,2024-06,1,97,29,12,10,43.4,0.83
Operations,Operations Role 3,2024-07,1,77,42,31,25,37.4,0.81
Operations,Operations Role 3,2024-08,1,76,43,29,28,15.6,0.97
Operations,Operations Role 3,2024-09,1,58,31,13,9,39.0,0.69
Operations,Operations Role 3,2024-10,1,29,13,9,8,15.3,0.89
Operations,Operations Role 3,2024-11,3,76,50,32,21,41.8,0.66
Operations,Operations Role 3,2024-12,2,82,33,17,13,36.0,0.76
